player_name,rank,country_name,points
Novak Djoković,1,Serbia,9860
Jannik Sinner,2,Italy,8770
Carlos Alcaraz,3,Spain,7300
Alexander Zverev,4,Germany,6305
Daniil Medvedev,5,Russia,6295
Andrey Rublev,6,Russia,4700
Casper Ruud,7,Norway,4185
Hubert Hurkacz,8,Poland,3885
Stefanos Tsitsipas,9,Greece,3700
Grigor Dimitrov,10,Bulgaria,3555
Alex de Minaur,11,Australia,3490
Taylor Fritz,12,USA,2980
Holger Rune,13,Denmark,2700
Tommy Paul,14,USA,2655
Ben Shelton,15,USA,2500
Ugo Humbert,17,France,2285
Karen Khachanov,18,Russia,2090
Nicolás Jarry,16,Chile,2075
Alexander Bublik,19,Kazakhstan,2060
Sebastián Báez,20,Argentina,1990
Félix Auger-Aliassime,21,Canada,1885
Adrian Mannarino,22,France,1865
Jiří Lehečka,24,Czech Republic,1685
Alejandro Tabilo,25,Chile,1645
Frances Tiafoe,26,USA,1630
Tallon Griekspoor,27,Netherlands,1610
Francisco Cerúndolo,23,Argentina,1590
Sebastian Korda,28,USA,1565
Tomás Martín Etcheverry,29,Argentina,1435
Lorenzo Musetti,31,Italy,1370
Mariano Navone,32,Argentina,1339
Alejandro Davidovich Fokina,34,Spain,1280
Cameron Norrie,33,United Kingdom,1230
Matteo Arnaldi,36,Italy,1165
Jordan Thompson,37,Australia,1156
Gaël Monfils,38,France,1155
Arthur Fils,30,France,1145
Jack Draper,35,United Kingdom,1131
Jan Lennard Struff,39,Germany,1090
Roman Safiullin,40,Russia,1087
Fábián Marozsán,41,Hungary,1083
Tomáš Macháč,44,Czech Republic,1070
Zhizhen Zhang,42,China,1056
Luciano Darderi,47,Italy,1042
Sebastian Ofner,45,Austria,1038
Christopher Eubanks,43,USA,1028
Nuno Borges,46,Portugal,1006
Pedro Martínez,49,Spain,995
Lorenzo Sonego,50,Italy,991
Marcos Giron,48,USA,990
Alexei Popyrin,51,Australia,961
Laslo Djere,52,Serbia,960
Márton Fucsovics,53,Hungary,922
Facundo Díaz Acosta,54,Argentina,908
Pavel Kotov,57,Russia,892
Flavio Cobolli,56,Italy,890
Miomir Kecmanović,55,Serbia,880
Thiago Seyboth Wild,58,Brazil,855
Alexander Shevchenko,61,Kazakhstan,855
Alex Michelsen,65,USA,835
Dušan Lajović,59,Serbia,831
Daniel Evans,60,United Kingdom,831
Roberto Carballés Baena,62,Spain,816
Jaume Munar,63,Spain,810
Dominik Koepfer,67,Germany,807
Emil Ruusuvuori,66,Finland,783
Christopher O'Connell,64,Australia,772
Yoshihito Nishioka,72,Japan,766
Federico Coria,69,Argentina,761
Luca Nardi,70,Italy,748
Arthur Rinderknech,73,France,747
Borna Ćorić,71,Croatia,744
Mackenzie McDonald,74,USA,735
Jakub Menšík,76,Czech Republic,728
Andy Murray,75,United Kingdom,728
Arthur Cazaux,77,France,725
Rinky Hijikata,78,Australia,723
Corentin Moutet,79,France,720
Taro Daniel,81,Japan,715
Roberto Bautista Agut,80,Spain,715
Aslan Karatsev,82,Russia,705
Daniel Altmaier,83,Germany,702
Brandon Nakashima,68,USA,700
Yannick Hanfmann,85,Germany,697
Thiago Monteiro,84,Brazil,685
Aleksandar Kovačević,88,USA,681
Aleksandar Vukic,93,Australia,672
Alexandre Müller,90,France,670
Constant Lestienne,86,France,669
Juncheng Shang,89,China,660
Fabio Fognini,91,Italy,648
Hugo Gaston,104,France,648
Max Purcell,92,Australia,647
Sumit Nagal,94,India,635
Adam Walton,95,Australia,635
Matteo Berrettini,96,Italy,630
Stan Wawrinka,97,Switzerland,628
Francisco Comesaña,87,Argentina,626
Thanasi Kokkinakis,98,Australia,623
Maximilian Marterer,99,Germany,622
Botic van de Zandschulp,100,Netherlands,618
Luca Van Assche,101,France,613
Zizou Bergs,102,Belgium,611
James Duckworth,103,Australia,611
Daniel Elahi Galán,105,Colombia,609
Giovanni Mpetshi Perricard,117,France,586
J.J. Wolf,107,USA,585
Pedro Cachín,106,Argentina,584
Thiago Agustín Tirante,109,Argentina,580
Camilo Ugo Carabelli,110,Argentina,580
Albert Ramos Viñolas,111,Spain,578
Grégoire Barrère,108,France,575
Cristian Garín,112,Chile,563
Michael Mmoh,114,USA,557
David Goffin,115,Belgium,543
Valentin Vacherot,116,Monaco,543
Juan Pablo Varillas,113,Peru,542
Denis Shapovalov,123,Canada,540
Lukáš Klein,118,Slovakia,535
Facundo Bagnis,119,Argentina,531
Terence Atmane,120,France,525
Harold Mayot,121,France,522
Zachary Svajda,122,USA,518
Richard Gasquet,124,France,515
Stefano Napolitano,125,Italy,512
Emilio Nava,126,USA,511
Vít Kopřiva,127,Czech Republic,511
Damir Džumhur,129,Bosnia & Herzegovina,505
Duje Ajduković,130,Croatia,499
Nicolas Moreno De Alboran,140,USA,497
Dominic Thiem,131,Austria,496
Lloyd Harris,128,South Africa,496
Titouan Droguet,132,France,493
Francesco Passaro,133,Italy,493
Hamad Medjedović,134,Serbia,492
Mikhail Kukushkin,135,Kazakhstan,492
Felipe Meligeni Alves,136,Brazil,490
Matteo Gigante,137,Italy,489
Jurij Rodionov,138,Austria,487
Radu Albot,139,Moldova,462
Diego Schwartzman,141,Argentina,459
Pierre Hugues Herbert,143,France,450
Dominic Stricker,144,Switzerland,443
Román Andrés Burruchaga,145,Argentina,431
Jozef Kovalík,146,Slovakia,427
Pablo Llamas Ruiz,142,Spain,424
Liam Broady,147,United Kingdom,423
Giulio Zeppieri,148,Italy,420
Benjamin Hassan,149,Germany,418
Patrick Kypson,150,USA,416
Leandro Riedi,151,Switzerland,414
Yosuke Watanuki,152,Japan,403
Alexis Galarneau,153,Canada,399
Zsombor Piros,154,Hungary,390
Benoît Paire,155,France,388
Otto Virtanen,156,Finland,387
Tomás Barrios Vera,157,Chile,378
Borna Gojo,159,Croatia,376
Andrea Pellegrino,160,Italy,372
Ugo Blanchet,158,France,371
Denis Kudla,161,USA,370
Shintaro Mochizuki,163,Japan,366
Rudolf Molleker,164,Germany,366
Oriol Roca Batalla,162,Spain,365
Lucas Pouille,165,France,363
Gabriel Diallo,166,Canada,360
Denis Yevseyev,167,Kazakhstan,359
Hugo Dellien,168,Bolivia,358
Marco Trungelliti,169,Argentina,356
Andrea Vavassori,170,Italy,355
Beibit Zhukayev,171,Kazakhstan,353
Benjamin Bonzi,172,France,349
Mattia Bellucci,173,Italy,349
Gustavo Heide,174,Brazil,346
Maxime Cressy,176,USA,345
Jesper de Jong,177,Netherlands,344
Mattéo Martineau,175,France,344
Juan Manuel Cerúndolo,178,Argentina,340
Martin Damm,179,USA,340
Jan Choinski,180,United Kingdom,340
Coleman Wong,N/A,Hong Kong,340
Elias Ymer,182,Sweden,337
Jaime Faria,183,Portugal,336
Alexander Ritschard,184,Switzerland,335
Hugo Grenier,185,France,332
Tristan Schoolkate,186,Australia,328
Quentin Halys,187,France,327
Genaro Alberto Olivieri,188,Argentina,327
Yunchaokete Bu,189,China,325
Alejandro Moro Cañas,190,Spain,324
Seongchan Hong,191,South Korea,320
Dalibor Svrčina,193,Czech Republic,316
Nick Hardt,195,Dominican Republic,309
Marc-Andrea Hüsler,196,Switzerland,308
Vitaliy Sachko,192,Ukraine,306
Milos Raonic,197,Canada,305
Joris De Loore,198,Belgium,305
Valentin Royer,200,France,304
Marc Polmans,201,Australia,303
Billy Harris,202,United Kingdom,302
Stefano Travaglia,194,Italy,301
Henrique Rocha,204,Portugal,299
Dino Prižmić,199,Croatia,297
Francesco Maestrelli,206,Italy,296
Omar Jasika,208,Australia,295
Dennis Novak,209,Austria,295
Enzo Couacaud,210,France,294
Jason Kubler,213,Australia,291
Yasutaka Uchiyama,214,Japan,289
Li Tu,215,Australia,289
Alex Molčan,216,Slovakia,288
Mark Lajal,207,Estonia,288
Calvin Hémery,218,France,287
Ryan Peniston,219,United Kingdom,283
Illya Marchenko,220,Ukraine,283
Maxime Janvier,221,France,283
Oliver Crawford,205,United Kingdom,282
Bernabé Zapata Miralles,203,Spain,281
Nerman Fatić,217,Bosnia & Herzegovina,281
Henri Squire,211,Germany,280
Murkel Dellien,222,Bolivia,280
Sho Shimabukuro,223,Japan,277
Tristan Boyer,224,USA,274
Manuel Guinard,225,France,274
Juan Pablo Ficovich,233,Argentina,273
Franco Agamenone,228,Italy,272
Lukas Neumayer,212,Austria,268
Yu-hsiou Hsu,230,Chinese Taipei,267
Joao Fonseca,231,Brazil,267
Antoine Escoffier,232,France,267
Kyrian Jacquet,234,France,265
Aziz Dougaz,227,Tunisia,265
Clément Tabur,235,France,264
Adrian Andreev,236,Bulgaria,264
Daniel Rincon,226,Spain,262
Dane Sweeny,237,Australia,261
Jiří Veselý,238,Czech Republic,260
Timofey Skatov,242,Kazakhstan,257
Alex Bolt,239,Australia,257
Gijs Brouwer,244,Netherlands,256
Jules Marie,240,France,256
Philip Sekulic,245,Australia,255
Filip Misolic,241,Austria,255
Dmitry Popko,229,Kazakhstan,251
